kód okresu,kód KÚ,názov obce
606,846619,Píla pri Mýtnej
606,846660,Pinciná
606,846899,Pleš
606,847682,Podrečany
606,847968,Polichno
606,849111,Praha
606,850322,Prša
606,851191,Radzovce
606,851655,Rapovce
606,851728,Ratka
606,853780,Ružiná
606,857939,Stará Halič
606,860697,Šávoľ
606,860786,Šiatorská Bukovinka
606,860824,Šíd
606,862258,Šurice
606,863424,Točnica
606,863505,Tomášovce
606,864161,Trebeľovce
606,864358,Trenč
606,865575,Tuhár
606,866261,Uderiná
606,867632,Veľká nad Ipľom
606,867977,Veľké Dravce
606,869261,Vidiná
607,,okres POLTÁR
607,806480,Breznička
607,807656,Bystrička pri Ozdíne
607,808211,Cinobaňa
607,809462,České Brezovo
607,813125,Ďubákovo
607,823058,Hrabovo
607,818984,Hradište pri Uhorskom
607,819549,Hrnčiarske Zalužany
607,821357,Ipeľský Potok
607,823066,Kalinovo
607,825298,Kokava nad Rimavicou
607,829226,Krná
607,835773,Málinec
607,837695,Mládzovo
607,844853,Ozdín
607,848077,Poltár
607,819514,Pondelok
607,852821,Rovňany
607,854808,Selce v Gemeri
607,848093,Slaná Lehota
607,859613,Sušany
607,861006,Šoltýska
607,865974,Turíčky
607,866377,Uhorské
607,825344,Utekáč
607,867331,Vaľkovo
607,819531,Veľká Suchá
607,867900,Veľká Ves
607,848107,Zelené
607,809489,Zlatno
608,,okres REVÚCA,
608,802280,Behynce
608,854166,Brusník nad Turcom
608,813117,Držkovce
608,851825,Filier
608,814865,Gemer
608,814954,Gemerská Ves
608,814997,Gemerský Milhosť
608,819468,Hrlica
608,820091,Hucín
608,821055,Chvalová
608,821110,Chyžné
608,822698,Jelšava
608,815004,Jelšavská Teplica
608,823252,Kameňany
608,834696,Kopráš
608,831841,Levkuška
608,831999,Licince
608,833291,Lubeník
608,815039,Mikolčany
608,834700,Mníšany
608,838233,Mokrá Lúka
608,838772,Muráň
608,838799,Muránska Dlhá Lúka
608,838802,Muránska Huta
608,838811,Muránska Lehota
608,838829,Muránska Zdychava
608,839370,Nandraž
608,815047,Nováčany v Gemeri
608,844829,Otročok
608,847020,Ploské
608,847984,Polina
608,850225,Prihradzany
608,851281,Rákoš pri Jelšave
608,851698,Rašice
608,851752,Ratková
608,851833,Ratkovské Bystré
608,851761,Repištia
608,852104,Revúca
608,852210,Revúcka Lehota
608,852228,Revúčka
608,854182,Rybník nad Turcom
608,851809,Sása nad Turcom
608,855545,Sirk
608,855804,Skerešovo
608,858498,Starňa
608,859044,Strelnice
608,860123,Šafárikovo
608,860981,Šivetice
608,865940,Turčok
608,869643,Višňové v Gemeri
608,860131,Železné
608,874361,Žiar pri Šafárikove
609,,okres RIMAVSKÁ SOBOTA,
609,800040,Abovce
609,800350,Babinec
609,800601,Bakta
609,801691,Barca
609,802191,Bátka
609,802433,Belín
609,815225,Bizovo
609,803171,Blhovce
609,803961,Bottovo
609,804011,Brádno
609,807141,Budikovany
609,807982,Cakov
609,815233,Čenice
609,809268,Čerenčany
609,809811,Čierny Potok
609,809900,Číž
609,823805,Dimitrij
609,812196,Dolné Zahorany
609,812811,Dražice
609,812889,Drienčany
609,813052,Drňa
609,813281,Dubno
609,813389,Dubovec
609,802204,Dulovo
609,813940,Dúžava
609,814229,Figa
609,814881,Gemerček
609,814971,Gemerské Dechtáre
609,814989,Gemerské Michalovce
609,815021,Gemerský Jablonec
609,815217,Gortva
609,871460,Gregorovce
609,815349,Hačava
609,815411,Hajnáčka
609,816515,Hnúšťa
609,816558,Hodejov
609,816566,Hodejovec
609,818291,Horné Zahorany
609,818615,Hostice
609,818658,Hostišovce
609,819051,Hrachovo
609,819999,Hrušovo
609,820083,Hubovo
609,820491,Husiná
609,820644,Chanava
609,820911,Chrámec
609,821420,Ivanice
609,822035,Janice
609,822795,Jesenské
609,822817,Jestice
609,823180,Kaloša
609,823791,Kesovce
609,824224,Klenovec
609,825026,Kociha
609,826120,Konrádovce
609,828076,Kráľ
609,828378,Kraskovo
609,829277,Krokava
609,829676,Kružno
609,830232,Kyjatice
609,831336,Lenartovce
609,831352,Lenka
609,832359,Lipovec v Gemeri
609,834203,Lukovištia
609,868639,Malé Teriakovce
609,836346,Martinová nad Rimavou
609,838161,Mojín
609,839680,Neporadza
609,840874,Nižná Pokoradz
609,841056,Nižné Valice
609,868906,Nižný Blh
609,868647,Nižný Skálnik
609,841447,Nová Bašta
609,844039,Orávka
609,820008,Ostrany
609,844918,OžĎany
609,844969,Padarovce
609,812897,Papča
609,845736,Pavlovce
609,846074,Petrovce
609,848026,Polom
609,848484,Poproč
609,848727,Potok nad Blhom
609,852643,Príboj
609,850900,Radnovce
609,866628,Rakytník
609,851795,Ratkovská Lehota
609,851817,Ratkovská Suchá
609,852830,Ratkovská Zdychava
609,852244,Riečka pri Králi
609,831166,Rimavica
609,852384,Rimavská Baňa
609,831158,Rimavská Lehota
609,852406,Rimavská Píla
609,852414,Rimavská Seč
609,852422,Rimavská Sobota
609,852597,Rimavské Brezovo
609,852635,Rimavské Janovce
609,852651,Rimavské Zalužany
609,852848,Rovné
609,853569,Rumince
609,856461,Slizké
609,857858,Stará Bašta
609,858811,Stránska
609,820016,Striežovce
609,859281,Studená
609,859621,Sútor
609,860832,Šimonovce
609,860921,Širkovce
609,861065,Španie Pole
609,861421,Štrkovec
609,862452,Tachty
609,862771,Teplý Vrch
609,863220,Tisovec
609,852473,Tomášová
609,863513,Tomášovce pri Bátke
609,866644,Uzovská Panica
609,867543,Včelince
609,867551,Večelkov
609,868663,Veľké Teriakovce
609,869309,Vieska nad Blhom
609,869953,Vlkyňa
609,868671,Vrbovce nad Rimavou
609,871265,Vyšná Pokoradz
609,871478,Vyšné Valice
609,868892,Vyšný Blh
609,871591,Vyšný Skálnik
609,871729,Zádor
609,871851,Zacharovce
609,874914,Žíp
610,,okres VEĽKÝ KRTÍŠ
610,800635,Balog nad Ipľom
610,802212,Bátorová
610,807010,Brusník
610,807451,Bušince
610,808971,Čebovce
610,809110,Čeláre
610,809161,Čelovce
610,809365,Červeňany
610,811513,Dolinka
610,811785,Dolná Strehová
610,812111,Dolné Plachtince
610,849634,Dolné Príbelce
610,812153,Dolné Strháre
610,810037,Dolný Dačov Lom
610,813931,Ďurkovce
610,815152,Glabušovce
610,817597,Horná Strehová
610,818143,Horné Plachtince
610,849642,Horné Príbelce
610,818232,Horné Strháre
610,810002,Horný Dačov Lom
610,819883,Hrušov
610,820946,Chrastince
610,821012,Chrťany
610,821292,Ipeľské Predmostie
610,823473,Kamenné Kosihy
610,823945,Kiarov
610,824135,Kleňany
610,825689,Koláre
610,826561,Kosihovce
610,826570,Kosihy nad Ipľom
610,827801,Kováčovce
610,831395,Lesenice
610,833568,Ľuboriečka
610,834963,Malá Čalomija
610,835692,Malé Straciny
610,835757,Malé Zlievce
610,835889,Malý Krtíš
610,838128,Modrý Kameň
610,838756,Muľa
610,839655,Nenince
610,841927,Nová Ves
610,843024,Obeckov
610,843687,Olováry
610,843903,Opatovská Nová Ves
610,843962,Opava
610,848751,Pôtor
610,849324,Pravica
610,849723,Príboj nad Tisovníkom
610,854522,Sečianky
610,854786,Seľany
610,854816,Selce pri Veľkom Krtíši
610,855162,Senné
610,855839,Sklabiná
610,856592,Slovenské Ďarmoty
610,856606,Slovenské Kľačany
610,859001,Stredné Plachtince
610,859478,Sucháň
610,859508,Suché Brezovo
610,860913,Širákov
